Abbildung,图示/图,Die Abbildung zeigt die empirische Verteilung der Daten.（该图展示了数据的经验分布。）
Bandbreite,带宽,Der Begriff Bandbreite ist in der Statistik ein wichtiger Fachausdruck.（术语 Bandbreite 是统计学中的重要专业表达，意思是带宽。）
Bayes,贝叶斯,Mit der Bayes-Formel kann man eine bedingte Wahrscheinlichkeit umkehren.（借助贝叶斯公式可以反转条件概率。）
bedingte Dichte,条件密度,Der Begriff bedingte Dichte ist in der Statistik ein wichtiger Fachausdruck.（术语 bedingte Dichte 是统计学中的重要专业表达，意思是条件密度。）
bedingte Erwartung,条件期望,Der Begriff bedingte Erwartung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（条件期望在解释统计结果时很重要。）
bedingte Häufigkeit,条件频率,Der Begriff bedingte Häufigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（条件频率在解释统计结果时很重要。）
bedingte Verteilung,条件分布,"Die bedingte Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（条件分布描述概率如何分布在可能取值上。）"
bedingte Wahrscheinlichkeit,条件概率,Die bedingte Wahrscheinlichkeit P(A|B) beschreibt die Wahrscheinlichkeit von A unter der Information B.（条件概率 P(A|B) 描述在已知 B 的情况下 A 的概率。）
Bedingung,条件,Der Begriff Bedingung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（条件在解释统计结果时很重要。）
Beobachtung,观测,Jede Beobachtung entspricht einer Untersuchungseinheit in der Stichprobe.（每个观测对应样本中的一个研究单位。）
Beobachtungsdaten,观测数据,"Der Begriff Beobachtungsdaten verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（观测数据指统计分析前必须仔细检查的信息。）"
Bernoulli-Verteilung,伯努利分布,Eine Bernoulli-Verteilung modelliert ein Experiment mit Erfolg oder Misserfolg.（伯努利分布刻画只有成功或失败两种结果的试验。）
Bertrand-Paradoxon,Bertrand 悖论,Der Begriff Bertrand-Paradoxon ist in der Statistik ein wichtiger Fachausdruck.（术语 Bertrand-Paradoxon 是统计学中的重要专业表达，意思是Bertrand 悖论。）
Beschränkung,限制/约束,Der Begriff Beschränkung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（限制/约束在解释统计结果时很重要。）
Beschriftung,标注/标签,Der Begriff Beschriftung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（标注/标签在解释统计结果时很重要。）
Beta-Verteilung,Beta 分布,"Die Beta-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（Beta 分布描述概率如何分布在可能取值上。）"
Betrag,绝对值,Der Begriff Betrag ist in der Statistik ein wichtiger Fachausdruck.（术语 Betrag 是统计学中的重要专业表达，意思是绝对值。）
Big Data,大数据,Der Begriff Big Data ist in der Statistik ein wichtiger Fachausdruck.（术语 Big Data 是统计学中的重要专业表达，意思是大数据。）
Bild,像,Der Begriff Bild ist in der Statistik ein wichtiger Fachausdruck.（术语 Bild 是统计学中的重要专业表达，意思是像。）
Bildmaß,像测度/诱导分布,Der Begriff Bildmaß ordnet mathematischen Objekten eine interpretierbare Größe zu.（像测度/诱导分布给数学对象赋予可解释的大小。）
Bildung,教育,Der Begriff Bildung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（教育在解释统计结果时很重要。）
Bindung / ties,并列值,Der Begriff Bindung / ties ist in der Statistik ein wichtiger Fachausdruck.（术语 Bindung / ties 是统计学中的重要专业表达，意思是并列值。）
Binomialkoeffizient,二项式系数,Der Begriff Binomialkoeffizient ist in der Statistik ein wichtiger Fachausdruck.（术语 Binomialkoeffizient 是统计学中的重要专业表达，意思是二项式系数。）
Binomialverteilung,二项分布,Die Binomialverteilung beschreibt die Anzahl der Erfolge in n unabhängigen Versuchen.（二项分布描述 n 次独立试验中的成功次数。）
Borel-Cantelli-Lemma,Borel-Cantelli 引理,Der Begriff Borel-Cantelli-Lemma ist in der Statistik ein wichtiger Fachausdruck.（术语 Borel-Cantelli-Lemma 是统计学中的重要专业表达，意思是Borel-Cantelli 引理。）
Borel-Menge,Borel 集,Der Begriff Borel-Menge ist in der Statistik ein wichtiger Fachausdruck.（术语 Borel-Menge 是统计学中的重要专业表达，意思是Borel 集。）
Borel-σ-Algebra,Borel σ-代数,Auf der reellen Zahlengeraden arbeitet man meist mit der Borel-σ-Algebra.（在实数轴上通常使用 Borel σ-代数。）
Boxplot,箱线图,"Ein Boxplot zeigt Median, Quartile und mögliche Ausreißer.（箱线图显示中位数、四分位数和可能的离群值。）"
Bravais-Pearson-Korrelation,Bravais-Pearson 相关,Der Begriff Bravais-Pearson-Korrelation ist in der Statistik ein wichtiger Fachausdruck.（术语 Bravais-Pearson-Korrelation 是统计学中的重要专业表达，意思是Bravais-Pearson 相关。）
Bravais-Pearson-Korrelationskoeffizient,Pearson 相关系数,Der Begriff Bravais-Pearson-Korrelationskoeffizient ist in der Statistik ein wichtiger Fachausdruck.（术语 Bravais-Pearson-Korrelationskoeffizient 是统计学中的重要专业表达，意思是Pearson 相关系数。）
Bundesstaat,联邦州,Der Begriff Bundesstaat ist in der Statistik ein wichtiger Fachausdruck.（术语 Bundesstaat 是统计学中的重要专业表达，意思是联邦州。）
Bundestagswahl,联邦议院选举,Der Begriff Bundestagswahl ist in der Statistik ein wichtiger Fachausdruck.（术语 Bundestagswahl 是统计学中的重要专业表达，意思是联邦议院选举。）
Cantorfunktion,Cantor 函数,"Der Begriff Cantorfunktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（Cantor 函数用于形式化描述分布或变换。）"
Cantormenge,Cantor 集,Der Begriff Cantormenge ist in der Statistik ein wichtiger Fachausdruck.（术语 Cantormenge 是统计学中的重要专业表达，意思是Cantor 集。）
Cauchy-Verteilung,Cauchy 分布,"Die Cauchy-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（Cauchy 分布描述概率如何分布在可能取值上。）"
charakteristische Funktion,特征函数,"Der Begriff charakteristische Funktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（特征函数用于形式化描述分布或变换。）"
Chi-Quadrat,卡方,Der Begriff Chi-Quadrat ist in der Statistik ein wichtiger Fachausdruck.（术语 Chi-Quadrat 是统计学中的重要专业表达，意思是卡方。）
Chi-Quadrat-Verteilung,卡方分布,"Die Chi-Quadrat-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（卡方分布描述概率如何分布在可能取值上。）"
Class,舱位等级,Der Begriff Class ist in der Statistik ein wichtiger Fachausdruck.（术语 Class 是统计学中的重要专业表达，意思是舱位等级。）
Collider,碰撞点,Der Begriff Collider ist in der Statistik ein wichtiger Fachausdruck.（术语 Collider 是统计学中的重要专业表达，意思是碰撞点。）
Confounding,混杂,Der Begriff Confounding ist in der Statistik ein wichtiger Fachausdruck.（术语 Confounding 是统计学中的重要专业表达，意思是混杂。）
COPD,慢性阻塞性肺病,Der Begriff COPD ist in der Statistik ein wichtiger Fachausdruck.（术语 COPD 是统计学中的重要专业表达，意思是慢性阻塞性肺病。）
Copula,Copula/连接函数,Eine Copula trennt die Randverteilungen von der Abhängigkeitsstruktur.（Copula 将边际分布和依赖结构分开。）
Cramér-Wold,Cramér-Wold 定理,Der Begriff Cramér-Wold ist in der Statistik ein wichtiger Fachausdruck.（术语 Cramér-Wold 是统计学中的重要专业表达，意思是Cramér-Wold 定理。）
Cramérs V,Cramér's V 关联强度,Der Begriff Cramérs V ist in der Statistik ein wichtiger Fachausdruck.（术语 Cramérs V 是统计学中的重要专业表达，意思是Cramér's V 关联强度。）
Cutoff,截断阈值,Der Begriff Cutoff ist in der Statistik ein wichtiger Fachausdruck.（术语 Cutoff 是统计学中的重要专业表达，意思是截断阈值。）
Cutoff-Point,截断点/阈值点,Der Begriff Cutoff-Point ist in der Statistik ein wichtiger Fachausdruck.（术语 Cutoff-Point 是统计学中的重要专业表达，意思是截断点/阈值点。）
Daten,数据,"Der Begriff Daten verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（数据指统计分析前必须仔细检查的信息。）"
Datenerhebung,数据采集,"Der Begriff Datenerhebung verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（数据采集指统计分析前必须仔细检查的信息。）"
datengenerierender Prozess,数据生成过程,"Der Begriff datengenerierender Prozess verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（数据生成过程指统计分析前必须仔细检查的信息。）"
Datenpunkt,数据点,"Der Begriff Datenpunkt verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（数据点指统计分析前必须仔细检查的信息。）"
Datenqualität,数据质量,"Der Begriff Datenqualität verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（数据质量指统计分析前必须仔细检查的信息。）"
Definition,定义,Der Begriff Definition ist in der Statistik ein wichtiger Fachausdruck.（术语 Definition 是统计学中的重要专业表达，意思是定义。）
Deutsch,中文,Der Begriff Deutsch ist in der Statistik ein wichtiger Fachausdruck.（术语 Deutsch 是统计学中的重要专业表达，意思是中文。）
Diabetes,糖尿病,Der Begriff Diabetes ist in der Statistik ein wichtiger Fachausdruck.（术语 Diabetes 是统计学中的重要专业表达，意思是糖尿病。）
dichotomes Merkmal,二分类变量,Der Begriff dichotomes Merkmal ist in der Statistik ein wichtiger Fachausdruck.（术语 dichotomes Merkmal 是统计学中的重要专业表达，意思是二分类变量。）
Dichte,密度,Bei stetigen Zufallsvariablen erhält man Wahrscheinlichkeiten durch Integration der Dichte.（对于连续随机变量，概率通过对密度积分得到。）
Dichtefunktion,密度函数,"Der Begriff Dichtefunktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（密度函数用于形式化描述分布或变换。）"
Dichtetransformationssatz,密度变换定理,Der Begriff Dichtetransformationssatz ist in der Statistik ein wichtiger Fachausdruck.（术语 Dichtetransformationssatz 是统计学中的重要专业表达，意思是密度变换定理。）
disjunkt,互斥,Der Begriff disjunkt ist in der Statistik ein wichtiger Fachausdruck.（术语 disjunkt 是统计学中的重要专业表达，意思是互斥。）
diskordant,不协同的,Der Begriff diskordant ist in der Statistik ein wichtiger Fachausdruck.（术语 diskordant 是统计学中的重要专业表达，意思是不协同的。）
diskret,离散的,Der Begriff diskret ist in der Statistik ein wichtiger Fachausdruck.（术语 diskret 是统计学中的重要专业表达，意思是离散的。）
diskrete Gleichverteilung,离散均匀分布,"Die diskrete Gleichverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（离散均匀分布描述概率如何分布在可能取值上。）"
diskrete Verteilung,离散分布,"Die diskrete Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（离散分布描述概率如何分布在可能取值上。）"
Distanzkorrelation,距离相关,Der Begriff Distanzkorrelation ist in der Statistik ein wichtiger Fachausdruck.（术语 Distanzkorrelation 是统计学中的重要专业表达，意思是距离相关。）
Drittvariable,第三变量,Der Begriff Drittvariable bezeichnet ein zentrales Objekt in einem statistischen Modell.（第三变量表示统计模型中的核心对象。）
durchschnittsstabil,对交集稳定,Der Begriff durchschnittsstabil ist in der Statistik ein wichtiger Fachausdruck.（术语 durchschnittsstabil 是统计学中的重要专业表达，意思是对交集稳定。）
ECDF,经验分布函数,Der Begriff ECDF ist in der Statistik ein wichtiger Fachausdruck.（术语 ECDF 是统计学中的重要专业表达，意思是经验分布函数。）
Effekt,效应,Der Begriff Effekt ist in der Statistik ein wichtiger Fachausdruck.（术语 Effekt 是统计学中的重要专业表达，意思是效应。）
einfache Zufallsstichprobe,简单随机样本,Der Begriff einfache Zufallsstichprobe ist in der Statistik ein wichtiger Fachausdruck.（术语 einfache Zufallsstichprobe 是统计学中的重要专业表达，意思是简单随机样本。）
Einheit,单位,Der Begriff Einheit ist in der Statistik ein wichtiger Fachausdruck.（术语 Einheit 是统计学中的重要专业表达，意思是单位。）
Einkommen,收入,Der Begriff Einkommen ist in der Statistik ein wichtiger Fachausdruck.（术语 Einkommen 是统计学中的重要专业表达，意思是收入。）
Elementarereignis,基本事件,Der Begriff Elementarereignis ist in der Statistik ein wichtiger Fachausdruck.（术语 Elementarereignis 是统计学中的重要专业表达，意思是基本事件。）
Empirie,经验世界,Der Begriff Empirie ist in der Statistik ein wichtiger Fachausdruck.（术语 Empirie 是统计学中的重要专业表达，意思是经验世界。）
empirisch,经验的,Der Begriff empirisch ist in der Statistik ein wichtiger Fachausdruck.（术语 empirisch 是统计学中的重要专业表达，意思是经验的。）
empirische Verteilungsfunktion,经验分布函数,"Die empirische Verteilungsfunktion beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（经验分布函数描述概率如何分布在可能取值上。）"
Ereignis,事件,Der Begriff Ereignis ist in der Statistik ein wichtiger Fachausdruck.（术语 Ereignis 是统计学中的重要专业表达，意思是事件。）
Ereignisraum,事件空间,Der Begriff Ereignisraum ist in der Statistik ein wichtiger Fachausdruck.（术语 Ereignisraum 是统计学中的重要专业表达，意思是事件空间。）
Erfolgswahrscheinlichkeit,成功概率,Der Begriff Erfolgswahrscheinlichkeit muss im jeweiligen Wahrscheinlichkeitsmodell präzise definiert werden.（成功概率这个概念必须在相应概率模型中被精确定义。）
Ergebnis,结果,Der Begriff Ergebnis ist in der Statistik ein wichtiger Fachausdruck.（术语 Ergebnis 是统计学中的重要专业表达，意思是结果。）
Ergebnisraum,结果空间/样本空间,Der Begriff Ergebnisraum ist in der Statistik ein wichtiger Fachausdruck.（术语 Ergebnisraum 是统计学中的重要专业表达，意思是结果空间/样本空间。）
erwartete Häufigkeit,期望频数,Der Begriff erwartete Häufigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（期望频数在解释统计结果时很重要。）
Erwartungswert,期望值,Der Erwartungswert beschreibt den theoretischen Schwerpunkt einer Verteilung.（期望值描述一个分布的理论重心。）
Erzeuger,生成元/生成系统,Der Begriff Erzeuger ist in der Statistik ein wichtiger Fachausdruck.（术语 Erzeuger 是统计学中的重要专业表达，意思是生成元/生成系统。）
erzeugte σ-Algebra,生成的 σ-代数,Der Begriff erzeugte σ-Algebra ist in der Statistik ein wichtiger Fachausdruck.（术语 erzeugte σ-Algebra 是统计学中的重要专业表达，意思是生成的 σ-代数。）
Estimand,估计目标,Der Begriff Estimand ist in der Statistik ein wichtiger Fachausdruck.（术语 Estimand 是统计学中的重要专业表达，意思是估计目标。）
Estimate,估计值,Der Begriff Estimate ist in der Statistik ein wichtiger Fachausdruck.（术语 Estimate 是统计学中的重要专业表达，意思是估计值。）
Estimator,估计量,Der Begriff Estimator ist in der Statistik ein wichtiger Fachausdruck.（术语 Estimator 是统计学中的重要专业表达，意思是估计量。）
Exponentialfamilie,指数族,Der Begriff Exponentialfamilie ist in der Statistik ein wichtiger Fachausdruck.（术语 Exponentialfamilie 是统计学中的重要专业表达，意思是指数族。）
Exponentialverteilung,指数分布,Die Exponentialverteilung wird häufig zur Modellierung von Wartezeiten verwendet.（指数分布常用于等待时间建模。）
Fahrrad,自行车,Der Begriff Fahrrad ist in der Statistik ein wichtiger Fachausdruck.（术语 Fahrrad 是统计学中的重要专业表达，意思是自行车。）
falsch negativ,假阴性,Der Begriff falsch negativ ist in der Statistik ein wichtiger Fachausdruck.（术语 falsch negativ 是统计学中的重要专业表达，意思是假阴性。）
falsch positiv,假阳性,Der Begriff falsch positiv ist in der Statistik ein wichtiger Fachausdruck.（术语 falsch positiv 是统计学中的重要专业表达，意思是假阳性。）
Faltung,卷积,Der Begriff Faltung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（卷积在解释统计结果时很重要。）
Farbskala,色标,Der Begriff Farbskala ist in der Statistik ein wichtiger Fachausdruck.（术语 Farbskala 是统计学中的重要专业表达，意思是色标。）
fast sicher,几乎必然,Der Begriff fast sicher ist in der Statistik ein wichtiger Fachausdruck.（术语 fast sicher 是统计学中的重要专业表达，意思是几乎必然。）
fast sichere Konvergenz,几乎必然收敛,Fast sichere Konvergenz ist stärker als Konvergenz in Wahrscheinlichkeit.（几乎必然收敛强于依概率收敛。）
Fehler,误差,Der Begriff Fehler ist in der Statistik ein wichtiger Fachausdruck.（术语 Fehler 是统计学中的重要专业表达，意思是误差。）
Feinstaub,细颗粒物,Der Begriff Feinstaub ist in der Statistik ein wichtiger Fachausdruck.（术语 Feinstaub 是统计学中的重要专业表达，意思是细颗粒物。）
Formparameter,形状参数,Der Begriff Formparameter ist in der Statistik ein wichtiger Fachausdruck.（术语 Formparameter 是统计学中的重要专业表达，意思是形状参数。）
Fouriertransformation,Fourier 变换,Der Begriff Fouriertransformation ist in der Statistik ein wichtiger Fachausdruck.（术语 Fouriertransformation 是统计学中的重要专业表达，意思是Fourier 变换。）
Fragebogen,问卷,Der Begriff Fragebogen ist in der Statistik ein wichtiger Fachausdruck.（术语 Fragebogen 是统计学中的重要专业表达，意思是问卷。）
Gamma-Verteilung,Gamma 分布,"Die Gamma-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（Gamma 分布描述概率如何分布在可能取值上。）"
Gauss-Prozess,Gaussian 过程,Der Begriff Gauss-Prozess ist in der Statistik ein wichtiger Fachausdruck.（术语 Gauss-Prozess 是统计学中的重要专业表达，意思是Gaussian 过程。）
Gaußprozess,Gaussian 过程,Der Begriff Gaußprozess ist in der Statistik ein wichtiger Fachausdruck.（术语 Gaußprozess 是统计学中的重要专业表达，意思是Gaussian 过程。）
gemeinsame Dichte,联合密度,Der Begriff gemeinsame Dichte ist in der Statistik ein wichtiger Fachausdruck.（术语 gemeinsame Dichte 是统计学中的重要专业表达，意思是联合密度。）
gemeinsame Verteilung,联合分布,"Die gemeinsame Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（联合分布描述概率如何分布在可能取值上。）"
Geometrie,几何对象,Der Begriff Geometrie ist in der Statistik ein wichtiger Fachausdruck.（术语 Geometrie 是统计学中的重要专业表达，意思是几何对象。）
geometrische Verteilung,几何分布,"Die geometrische Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（几何分布描述概率如何分布在可能取值上。）"
geometrisches Mittel,几何平均数,Der Begriff geometrisches Mittel ist in der Statistik ein wichtiger Fachausdruck.（术语 geometrisches Mittel 是统计学中的重要专业表达，意思是几何平均数。）
Geschlecht,性别,Der Begriff Geschlecht ist in der Statistik ein wichtiger Fachausdruck.（术语 Geschlecht 是统计学中的重要专业表达，意思是性别。）
Gesetz der großen Zahlen,大数定律,"Das Gesetz der großen Zahlen erklärt, warum Stichprobenmittelwerte stabil werden.（大数定律解释了为什么样本均值会趋于稳定。）"
Gesunde,健康者,Der Begriff Gesunde ist in der Statistik ein wichtiger Fachausdruck.（术语 Gesunde 是统计学中的重要专业表达，意思是健康者。）
GFDL,GNU 自由文档许可证,Der Begriff GFDL ist in der Statistik ein wichtiger Fachausdruck.（术语 GFDL 是统计学中的重要专业表达，意思是GNU 自由文档许可证。）
Gini-Koeffizient,Gini 系数,Der Begriff Gini-Koeffizient ist in der Statistik ein wichtiger Fachausdruck.（术语 Gini-Koeffizient 是统计学中的重要专业表达，意思是Gini 系数。）
Gleichverteilung,均匀分布,"Die Gleichverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（均匀分布描述概率如何分布在可能取值上。）"
Glivenko-Cantelli,Glivenko-Cantelli 定理,Der Begriff Glivenko-Cantelli ist in der Statistik ein wichtiger Fachausdruck.（术语 Glivenko-Cantelli 是统计学中的重要专业表达，意思是Glivenko-Cantelli 定理。）
Grammar of Graphics,图形语法,Der Begriff Grammar of Graphics ist in der Statistik ein wichtiger Fachausdruck.（术语 Grammar of Graphics 是统计学中的重要专业表达，意思是图形语法。）
Grundgesamtheit,总体,Der Begriff Grundgesamtheit ist in der Statistik ein wichtiger Fachausdruck.（术语 Grundgesamtheit 是统计学中的重要专业表达，意思是总体。）
Grundraum,样本空间,Der Begriff Grundraum ist in der Statistik ein wichtiger Fachausdruck.（术语 Grundraum 是统计学中的重要专业表达，意思是样本空间。）
Häufigkeit,频数,Der Begriff Häufigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（频数在解释统计结果时很重要。）
Häufigkeitstabelle,频数表,Der Begriff Häufigkeitstabelle ist in der Statistik ein wichtiger Fachausdruck.（术语 Häufigkeitstabelle 是统计学中的重要专业表达，意思是频数表。）
harmonisches Mittel,调和平均数,Der Begriff harmonisches Mittel ist in der Statistik ein wichtiger Fachausdruck.（术语 harmonisches Mittel 是统计学中的重要专业表达，意思是调和平均数。）
Hazardrate,风险率/危险率,Der Begriff Hazardrate ist in der Statistik ein wichtiger Fachausdruck.（术语 Hazardrate 是统计学中的重要专业表达，意思是风险率/危险率。）
Herfindahl-Index,Herfindahl 指数,Der Begriff Herfindahl-Index ist in der Statistik ein wichtiger Fachausdruck.（术语 Herfindahl-Index 是统计学中的重要专业表达，意思是Herfindahl 指数。）
Histogramm,直方图,Ein Histogramm hängt von der Wahl der Klassenbreite ab.（直方图受组距选择影响。）
hypergeometrische Verteilung,超几何分布,"Die hypergeometrische Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（超几何分布描述概率如何分布在可能取值上。）"
Hypothese,假设,Der Begriff Hypothese ist in der Statistik ein wichtiger Fachausdruck.（术语 Hypothese 是统计学中的重要专业表达，意思是假设。）
iid,独立同分布,Der Begriff iid ist in der Statistik ein wichtiger Fachausdruck.（术语 iid 是统计学中的重要专业表达，意思是独立同分布。）
Indikatorfunktion,指示函数,"Der Begriff Indikatorfunktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（指示函数用于形式化描述分布或变换。）"
induktive Statistik,推断统计/归纳统计,Der Begriff induktive Statistik ist in der Statistik ein wichtiger Fachausdruck.（术语 induktive Statistik 是统计学中的重要专业表达，意思是推断统计/归纳统计。）
Infektionsrate,感染率,Der Begriff Infektionsrate ist in der Statistik ein wichtiger Fachausdruck.（术语 Infektionsrate 是统计学中的重要专业表达，意思是感染率。）
Inferenz,推断,Der Begriff Inferenz ist in der Statistik ein wichtiger Fachausdruck.（术语 Inferenz 是统计学中的重要专业表达，意思是推断。）
Inferenzstatistik,推断统计,Der Begriff Inferenzstatistik ist in der Statistik ein wichtiger Fachausdruck.（术语 Inferenzstatistik 是统计学中的重要专业表达，意思是推断统计。）
Interquartilsabstand,四分位距,Der Begriff Interquartilsabstand ist in der Statistik ein wichtiger Fachausdruck.（术语 Interquartilsabstand 是统计学中的重要专业表达，意思是四分位距。）
Intervallskala,区间尺度,Der Begriff Intervallskala ist in der Statistik ein wichtiger Fachausdruck.（术语 Intervallskala 是统计学中的重要专业表达，意思是区间尺度。）
Inverse-Transformations-Methode,反函数法,Der Begriff Inverse-Transformations-Methode ist in der Statistik ein wichtiger Fachausdruck.（术语 Inverse-Transformations-Methode 是统计学中的重要专业表达，意思是反函数法。）
Irrfahrt,随机游走,Der Begriff Irrfahrt ist in der Statistik ein wichtiger Fachausdruck.（术语 Irrfahrt 是统计学中的重要专业表达，意思是随机游走。）
Jensen-Ungleichung,Jensen 不等式,Der Begriff Jensen-Ungleichung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（Jensen 不等式在解释统计结果时很重要。）
kausale Struktur,因果结构,Der Begriff kausale Struktur ist in der Statistik ein wichtiger Fachausdruck.（术语 kausale Struktur 是统计学中的重要专业表达，意思是因果结构。）
Kausalität,因果,Der Begriff Kausalität ist in der Statistik ein wichtiger Fachausdruck.（术语 Kausalität 是统计学中的重要专业表达，意思是因果。）
Kennwert,特征值/统计指标,Der Begriff Kennwert ist in der Statistik ein wichtiger Fachausdruck.（术语 Kennwert 是统计学中的重要专业表达，意思是特征值/统计指标。）
Kerndichteschätzer,核密度估计量,Der Begriff Kerndichteschätzer ist in der Statistik ein wichtiger Fachausdruck.（术语 Kerndichteschätzer 是统计学中的重要专业表达，意思是核密度估计量。）
Kerndichteschätzung,核密度估计,Der Begriff Kerndichteschätzung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（核密度估计在解释统计结果时很重要。）
